name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
EBIT,"600,700,000","144,300,000","158,400,000","174,200,000","152,200,000","133,300,000","76,900,000","-49,900,000","-68,600,000","49,200,000","73,500,000","75,600,000","81,500,000","134,500,000","119,200,000","103,600,000","91,800,000","78,900,000","62,500,000","-150,700,000","37,277,000","38,788,000","20,900,000","27,700,000","19,920,000"
EBITDA,"1,022,800,000"
ReconciledCostOfRevenue,"3,074,700,000","885,700,000","788,500,000","757,900,000","829,100,000","954,300,000","824,600,000","874,500,000","538,300,000","367,000,000","362,600,000","381,200,000","375,700,000","430,300,000","413,500,000","405,200,000","373,600,000","395,900,000","381,800,000","349,863,000","295,030,000","343,158,000","286,200,000","278,243,000","266,610,000"
ReconciledDepreciation,"422,100,000","111,800,000","102,500,000","88,800,000","119,000,000","141,300,000","142,800,000","144,500,000","72,300,000","45,200,000","43,000,000","44,400,000","45,500,000","45,800,000","44,400,000","45,200,000","45,000,000","46,900,000","43,400,000","43,837,000","39,663,000","45,825,000","42,900,000","42,757,000","41,243,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"520,900,000","163,300,000","130,200,000","137,600,000","111,300,000","151,600,000","29,500,000","-177,600,000","-36,800,000","25,700,000","41,300,000","44,900,000","47,100,000","94,500,000","72,200,000","60,300,000","42,400,000","143,600,000","28,000,000","-146,300,000","-7,015,000","-10,220,000","-12,900,000","-3,900,000","-9,620,000"
TotalUnusualItemsExcludingGoodwill,"-65,700,000","-22,400,000","-25,200,000","-25,500,000","400,000","-35,700,000","-47,300,000","-48,800,000","-101,200,000","-31,800,000","-23,000,000","-18,300,000","-700,000","-4,600,000","-6,100,000","-700,000","100,000","-16,200,000","-34,100,000","-54,800,000","-2,323,000","-50,783,000","0","-6,400,000","-4,296,000"
TotalUnusualItems,"-65,700,000","-22,400,000","-25,200,000","-25,500,000","400,000","-35,700,000","-47,300,000","-48,800,000","-101,200,000","-31,800,000","-23,000,000","-18,300,000","-700,000","-4,600,000","-6,100,000","-700,000","100,000","-16,200,000","-34,100,000","-54,800,000","-2,323,000","-50,783,000","0","-6,400,000","-4,296,000"
NormalizedEBITDA,"1,088,500,000","278,500,000","286,100,000","288,500,000","270,800,000","310,300,000","267,000,000","143,400,000","104,900,000","126,200,000","139,500,000","138,300,000","127,700,000","184,900,000","169,700,000","149,500,000","136,700,000","142,000,000","140,000,000","-52,063,000","79,263,000","135,396,000","63,800,000","76,857,000","65,459,000"
TaxRateForCalcs,"0.27","0.27","0.02","0.083","0.136","0.27","0.378","0.27","0.27","0.092","0.179","0.156","0.203","0.152","0.238","0.222","0.356","0.4","0.136","0.231","0.189","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"-17,739,000","-6,048,000","-504,000","-2,116,500","54,400","-9,639,000","-17,879,400","-13,176,000","-27,324,000","-2,921,554.77","-4,117,000","-2,854,800","-142,100","-697,845.601","-1,451,800","-155,400","35,600","-6,480,000","-4,637,600","-12,658,800","-439,047","-20,313,200","0","-2,560,000","-1,718,400"
